"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Story City Wind","Story City Wind","Story City Wind","Definition:Community Wind","Hamilton Wind Energy LLC","Clark Thompson","Story City Municipal Electric Utility","Story City IA","1.5 MW",1,2011,Goldwind,"In Service","42.186602°, -93.561374°"
"Story County Hospital Wind Farm","Story County Hospital Wind Farm","Story County Hospital","Definition:Community Wind","Story County Hospital","Story County Hospital","Alliant/IES Utilities","NV - Story County IA","0.23 MW",1,1993,Vestas,"In Service","42.016808°, -93.453238°"
"Story County Wind Farm","Story County Wind Farm","Story County","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Story and Hardin Counties IA","150 MW",100,2008,"GE Energy","In Service","42.301351°, -93.45156°"
"Story County Wind Project II","Story County Wind Project II","Story County Wind Project II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Story & Hardin Counties IA","150 MW",100,2009,"GE Energy","In Service","42.301351°, -93.45156°"
"Stratton Middle and High School Wind Project","Stratton Middle and High School Wind Project","Stratton Middle and High School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"39.30444°, -102.601151°"
"Streator Cayuga Ridge Wind Farm","Streator Cayuga Ridge Wind Farm","Streator Cayuga Ridge Wind Farm","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",TVA,"Livingston County IL","300 MW",150,2010,Gamesa,"In Service","40.955319°, -88.428011°"
"Stuart Municipal Utilities Wind Farm","Stuart Municipal Utilities Wind Farm","Stuart Municipal Utilities","Definition:Commercial Scale Wind","Stuart Municipal Utilities","Stuart Municipal Utilities","Stuart Municipal Utilities","Stuart IA","0.66 MW",1,2005,Vestas,"In Service","41.493988°, -94.327403°"
"Summerside Wind Farm","Summerside Wind Farm",,"Definition:Community Wind","City of Summerside",,,,"3 MW",4,2009,Vestas,"In Service","46.434690582374°, -63.800010681152°"
"Sunray I Wind Farm","Sunray I Wind Farm","Sunray I","Definition:Commercial Scale Wind",Valero,Valero,"McKee Refinery for 34.5; Xcel Energy for remainder",TX,"9 MW",6,2009,"GE Energy","In Service","35.961137°, -101.804602°"
"Sunray II Wind Farm","Sunray II Wind Farm","Sunray II","Definition:Commercial Scale Wind",Valero,Valero,"McKee Refinery for 34.5; Xcel Energy for remainder",TX,"40.5 MW",27,2009,"GE Energy","In Service","35.961137°, -101.804602°"
"Superior Farms","Superior Farms","Superior Farms","Definition:Community Wind","Foundation Windpower","Foundation Windpower","Superior Farms","Dixon CA","1 MW",1,2012,Mitsubishi,"In Service","38.420103°, -121.817506°"
"Superior Public Schools Wind Project","Superior Public Schools Wind Project","Superior Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"40.022099°, -98.078537°"
"Surf City","Surf City","Surf City","Definition:Offshore Wind","Pavilion Energy Resources / Zero Carbon Wind Energy Corp","Pavilion Energy Resources / Zero Carbon Wind Energy Corp",,"Atlantic Ocean NJ","1,100 MW",55,,Sterling,Proposed,"39.38°, -73.508°"
"Sustainable Technologies Museum Wind Farm","Sustainable Technologies Museum Wind Farm","Sustainable Technologies Museum","Definition:Commercial Scale Wind","GSG 3 LLC","FPC/GSG Wind",ComEd,IL,"2.5 MW",1,2007,Clipper,"In Service","40.6331249°, -89.3985283°"
"Suzlon Project VII","Suzlon Project VII","Suzlon Project VII","Definition:Commercial Scale Wind","Suzlon Energy Company","Suzlon Energy Company","QF on SPP","Dumas TX","4.2 MW",2,2011,"Suzlon Energy Company","In Service","35.8510078°, -101.9774241°"
"Swauk Valley","Swauk Valley","Swauk Valley","Definition:Commercial Scale Wind",McKinstry,McKinstry,,"Ellensburg WA","4.25 MW",5,2012,Gamesa,"In Service","47.14163°, -120.754376°"
Sweetwater,Sweetwater,Sweetwater,"Definition:Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown","TXU Electric & Gas","Sweetwater TX","37.5 MW",25,2003,"GE Energy","In Service","32.368084°, -100.333722°"
"Sweetwater 4a","Sweetwater 4a","Sweetwater #4a","Definition:Commercial Scale Wind",,"Babcock & Brown/Catamount Energy","City of San Antonio Texas (Utility Company)","Sweetwater TX","135 MW",135,2007,Mitsubishi,"In Service","32.368084°, -100.333722°"
"Sweetwater 4b","Sweetwater 4b","Sweetwater #4b","Definition:Commercial Scale Wind",,"Babcock & Brown/Catamount Energy","City of San Antonio Texas (Utility Company)","Sweetwater TX","105.8 MW",46,2007,Siemens,"In Service","32.368084°, -100.333722°"
"Sweetwater 5 Wind Farm","Sweetwater 5 Wind Farm","Sweetwater 5","Definition:Commercial Scale Wind","Babcock & Brown/Catamount Energy","Babcock & Brown/Catamount Energy",Market,"Sweetwater TX","80.5 MW",35,2007,Siemens,"In Service","32.368084°, -100.333722°"
"Sweetwater Phase II Wind Farm","Sweetwater Phase II Wind Farm","Sweetwater Phase II","Definition:Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown/Catamount","Austin Energy","Sweetwater TX","91.5 MW",61,2005,"GE Energy","In Service","32.368084°, -100.333722°"
"Sweetwater Phase III Wind Farm","Sweetwater Phase III Wind Farm","Sweetwater Phase III","Definition:Commercial Scale Wind","Babcock & Brown/Catamount","DKRW/Babcock & Brown/Catamount","CPS Energy/Austin Energy","Sweetwater TX","135 MW",90,2005,"GE Energy","In Service","32.368084°, -100.333722°"
"TJ Automation","TJ Automation","TJ Automation","Definition:Small Scale Wind","TJ Automation",,"TJ Automation","Archbold OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.45823855°, -84.30666804°"
"Taconite Ridge Wind Farm","Taconite Ridge Wind Farm","Taconite Ridge","Definition:Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","St. Louis County MN","25 MW",10,2008,Clipper,"In Service","47.572837°, -92.60077°"
"Talbot County DPW","Talbot County DPW","Talbot County DPW","Definition:Community Wind","Talbot County DPW",,"Talbot County DPW","Easton MD","0.3 MW",3,2010,Clipper,"In Service","38.8182443°, -76.0331583°"
"Taloga Wind Farm","Taloga Wind Farm","Taloga Wind Farm","Definition:Commercial Scale Wind","Edison Mission Energy","Edison Mission Group","Oklahoma Gas & Electric","North of Taloga OK","129.6 MW",54,2012,Mitsubishi,"In Service","36.08915°, -98.979716°"
"Tatanka Wind Project I","Tatanka Wind Project I","Tatanka Wind Project","Definition:Commercial Scale Wind","Acciona Energy","Acciona Energy",,"McPherson County SD","88.5 MW",59,2008,Acciona,"In Service","45.939171°, -98.943915°"
"Tatanka Wind Project II","Tatanka Wind Project II","Tatanka Wind Project","Definition:Commercial Scale Wind","Acciona Energy","Acciona Energy",,"Dickey and McIntosh Counties ND","91.5 MW",61,2008,Acciona,"In Service","45.951884°, -98.940482°"
"Teichert Aggregates","Teichert Aggregates","Teichert Aggregates","Definition:Community Wind","Teichert Aggregates","Foundation Windpower","Teichert Aggregates","South of Tracy CA","1.5 MW",1,2010,"GE Energy","In Service","37.616169°, -121.356236°"
"Testa Produce","Testa Produce","Testa Produce","Definition:Community Wind","Testa Produce","Testa Produce","Testa Produce","Chicago IL","0.75 MW",1,2011,Aeronautica,"In Service","41.81065982°, -87.65433311°"
"Texas Offshore Pilot Research Project","Texas Offshore Pilot Research Project","Texas Offshore Pilot Research Project","Definition:Offshore Wind","Baryonyx Corporation","Baryonyx Corporation",,"Gulf of Mexico TX","25 MW",5,,,Proposed,"26.186°, -97.077°"
"Texas State Technical College Wind Farm","Texas State Technical College Wind Farm","Texas State Technical College","Definition:Community Wind","Texas State Technical College","Texas State Technical College","Texas State Technical College","Sweetwater TX","2 MW",1,2008,DeWind,"In Service","32.4709519°, -100.4059384°"
"The City of Union City","The City of Union City","The City of Union City","Definition:Community Wind","Performance Services",,"AEP - Indiana Michigan Power","Union City IL","1 MW",1,2010,Nordic,"In Service","40.19339719°, -84.81110573°"
"Tholen & Petersen Wind Farm","Tholen & Petersen Wind Farm","Tholen & Petersen","Definition:Commercial Scale Wind",,"Tholen & Petersen","Xcel Energy","Tracy MN","13.2 MW",8,2005,Vestas,"In Service","44.238881°, -95.616825°"
"Thomas Harrison Middle School Wind Project","Thomas Harrison Middle School Wind Project","Thomas Harrison Middle School","Definition:Community Wind",,,,VA,,1,2012,SkyStream,"In Service","38.452833102347°, -78.890895433724°"
"Thousand Springs Wind Park","Thousand Springs Wind Park","Thousand Springs Wind Park","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Twin Falls County ID","12 MW",8,2011,"GE Energy","In Service","42.7452°, -114.828°"
"Three D Metals Wind Turbine","Three D Metals Wind Turbine","Three D Metals Wind Turbine","Definition:Small Scale Wind","Three D Metals",,"Three D Metals","Valley City OH","0.1 MW",1,2009,"Northern Power Systems","In Service","41.248155°, -81.883079°"
"Three Mile Canyon","Three Mile Canyon","Three Mile Canyon","Definition:Commercial Scale Wind","John Deere Wind","Momentum RE",PacifiCorp,"Morrow County OR","9.9 MW",6,2009,Vestas,"In Service","45.717419°, -119.502258°"
"Threemile Canyon Wind Farm","Threemile Canyon Wind Farm","Threemile Canyon","Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind",PacifiCorp,"Morrow County OR","9.9 MW",6,2009,Vestas,"In Service","45.837861°, -119.701286°"
"Tillamook Offshore Wind Farm","Tillamook Offshore Wind Farm","Tillamook Offshore Wind Farm","Definition:Offshore Wind","Principle Power","Principle Power",,"Offshore from Tillamook OR","150 MW",30,,Undetermined,Proposed,"45.527°, -124.179°"
"Tillamook Windfloat Phase 1","Tillamook Windfloat Phase 1","Tillamook Windfloat Phase 1","Definition:Offshore Wind","Principle Power","Principle Power",,"Pacific Ocean OR","5 MW",1,,,Proposed,"45.54°, -124.156°"
"Timber Road II","Timber Road II","Timber Road II","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","American Electric Power Co., Inc.","Near Payne OH","99 MW",55,2010,Vestas,"In Service","41.023524°, -84.717185°"
"Tin City Long Range Radar Station Wind Farm","Tin City Long Range Radar Station Wind Farm","Tin City Long Range Radar Station","Definition:Community Wind","Tin City Long Range Radar Station","Tanadgusix Corp.","Tin City Long Range Radar Station","Nome AK","0.23 MW",1,2008,Vestas,"In Service","65.559372°, -167.949686°"
"Tippecanoe Valley School Corp","Tippecanoe Valley School Corp","Tippecanoe Valley School Corp","Definition:Community Wind","Tippecanoe Valley School Corp","Performance Services","Tippecanoe Valley School Corp","Akron IN","0.9 MW",1,2011,PowerWind,"In Service","41.11098144°, -86.04468584°"
"Titan I Wind Farm","Titan I Wind Farm","Titan I","Definition:Commercial Scale Wind","BP Alternative Energy/Clipper","BP Alternative Energy/Clipper","Northwestern Energy","South of Ree Heights SD","25 MW",10,2009,Clipper,"In Service","44.480053°, -99.209476°"
"Titan Platform","Titan Platform","Titan Platform","Definition:Offshore Wind",,"Offshore Wind Power Systems of Texas",,"Gulf of Mexico TX","7 MW",1,,,Proposed,"27.912°, -96.833°"
"Tjaden Farms Wind Farm","Tjaden Farms Wind Farm","Tjaden Farms","Definition:Community Wind","Tjaden Farms",,"Tjaden Farms","Charles City IA","0.45 MW",1,2006,Bonus,"In Service","43.170337°, -92.58944°"
"Top Crop Wind Farm","Top Crop Wind Farm","Top Crop Wind Farm","Definition:Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,,"Grundy/Livingston/La Salle Counties IL","102 MW",68,2009,"GE Energy","In Service","41.159826°, -88.637381°"
"Top Crop Wind Farm (Phase II)","Top Crop Wind Farm (Phase II)","Top Crop Wind Farm (Phase II)","Definition:Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,,"Grundy County IL","198 MW",132,2010,"GE Energy","In Service","41.202313°, -88.530078°"
"Top of Iowa II Wind Farm","Top of Iowa II Wind Farm","Top of Iowa II","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Worth County IA","80 MW",40,2008,Gamesa,"In Service","43.361088°, -93.294282°"
"Top of Iowa III Wind Farm","Top of Iowa III Wind Farm","Top of Iowa III","Definition:Commercial Scale Wind","Madison Gas & Electric","Midwest Renewable Energy Projects","Madison Gas & Electric","Worth County IA","29.7 MW",18,2008,Vestas,"In Service","43.361088°, -93.294282°"
"Top of Iowa Wind Farm","Top of Iowa Wind Farm","Top of Iowa Wind Farm","Definition:Commercial Scale Wind",,"Zilkha Renewable/Midwest Renewable","Alliant/IES Utilities","Worth County IA","80.1 MW",89,2001,"NEG Micon","In Service","43.361088°, -93.294282°"
"Top of the World (GE)","Top of the World (GE)","Top of the World (GE)","Definition:Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"4 miles northeast of Glenrock WY","99 MW",66,2010,"GE Energy","In Service","42.914132°, -105.691223°"
"Top of the World (Siemens)","Top of the World (Siemens)","Top of the World (Siemens)","Definition:Commercial Scale Wind","Duke Energy Carolinas LLC","Duke Energy Carolinas LLC",PacifiCorp,"4 miles northeast of Glenrock WY","101.2 MW",44,2010,Siemens,"In Service","42.914132°, -105.691223°"
"Town of Barnstable","Town of Barnstable","Town of Barnstable","Definition:Community Wind","Town of Barnstable",,"Town of Barnstable","Barnstable MA","0.2 MW",1,2010,"Northern Power Systems","In Service","41.66402376°, -70.30557185°"
"Town of Richland","Town of Richland","Town of Richland","Definition:Small Scale Wind","Sustainable Energy Development",,"Town of Richland","Richland NY","0.1 MW",1,2010,"Northern Power Systems","In Service","43.56504687°, -76.03708506°"
"Townsend School District Wind Project","Townsend School District Wind Project","Townsend School District","Definition:Community Wind",,,,MT,,1,,SkyStream,,"46.321682°, -111.521049°"
"Traer Wind","Traer Wind","Traer Wind","Definition:Community Wind","Norsemen Wind Energy LLC","Clark Thompson","Traer Municipal Electric Utility","Traer IA","1.5 MW",1,2011,Goldwind,"In Service","42.15242792°, -92.46557236°"
"Traverse City Light & Power Wind Farm","Traverse City Light & Power Wind Farm","Traverse City Light & Power","Definition:Community Wind","Traverse City Light & Power","Traverse City Light & Power","Traverse City Light & Power","Traverse City MI","0.6 MW",1,1996,Vestas,"In Service","44.777032°, -85.689917°"
"Trent Mesa Wind Farm","Trent Mesa Wind Farm","Trent Mesa Wind Farm","Definition:Commercial Scale Wind","American Electric Power Co., Inc.","American Electric Power Co., Inc.","TXU Electric & Gas","Nolan and Taylor Counties TX","150 MW",100,2001,"GE Energy","In Service","32.295161°, -100.150645°"
"Tres Vaqueros I Wind Farm","Tres Vaqueros I Wind Farm","Tres Vaqueros I","Definition:Commercial Scale Wind",,"International Wind Companies","Pacific Gas & Electric Co","Altamont Pass CA","28.05 MW",85,,Howden,"In Service","37.7347°, -121.652°"
"Tres Vaqueros II Wind Farm","Tres Vaqueros II Wind Farm","Tres Vaqueros II","Definition:Commercial Scale Wind",,"International Wind Companies","Pacific Gas & Electric Co","Altamont Pass CA","0.75 MW",1,,Howden,"In Service","37.7347°, -121.652°"
"Trimont Area Wind Farm","Trimont Area Wind Farm","Trimont Area Wind Farm","Definition:Commercial Scale Wind","PPM Energy Inc","PPM Energy Inc","Great River Energy","Southwest MN MN","100.5 MW",67,2005,"GE Energy","In Service","43.779594°, -94.852874°"
"Trinity Hills","Trinity Hills","Trinity Hills","Definition:Commercial Scale Wind","BP Wind Energy","BP Wind Energy",Merchant,"Archer and Yound Counties TX","225 MW",90,2012,Clipper,"In Service","33.401504°, -98.7115027°"
"Tuana Gulch Wind Park","Tuana Gulch Wind Park","Tuana Gulch Wind Park","Definition:Commercial Scale Wind",Exergy,Exergy,"Idaho Power","Twin Falls County ID","10.5 MW",7,2010,"GE Energy","In Service","42.89°, -114.98°"
"Tuana Springs Wind Farm","Tuana Springs Wind Farm","Tuana Springs Wind Farm","Definition:Commercial Scale Wind","John Deere Wind","John Deere Wind","Idaho Power","Twin Falls County ID","16.8 MW",8,2010,"Suzlon Energy Company","In Service","42.814261°, -114.996665°"
"Turkey Track Wind Farm","Turkey Track Wind Farm","Turkey Track Wind Farm","Definition:Commercial Scale Wind","CanTex Energy","Wind Tex Energy LP",,"Nolan TX","169.5 MW",113,2008,"GE Energy","In Service","32.23182529°, -100.043478°"
"Turtle Mountain Community College Wind Farm","Turtle Mountain Community College Wind Farm","Turtle Mountain Community College","Definition:Community Wind","Turtle Mountain Community College","Distributed Gen","Turtle Mountain Community College","St. John ND","0.66 MW",1,2008,Vestas,"In Service","48.884703°, -99.751936°"
"Turtle Mountain Wind Farm","Turtle Mountain Wind Farm","Turtle Mountain","Definition:Small Scale Wind","Turtle Mountain Chippewa",,"Turtle Mountain Chippewa","Belcourt ND","0.1 MW",1,1997,"NEG Micon","In Service","48.839486°, -99.745145°"
"Tuscola Bay Wind","Tuscola Bay Wind","Tuscola Bay Wind","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Detroit Edison","Fairgrove MI","120 MW",75,2012,"GE Energy","In Service","43.52596°, -83.653106°"
"Twin Buttes Wind Farm","Twin Buttes Wind Farm","Twin Buttes","Definition:Commercial Scale Wind",,"PPM Energy Inc","Xcel Energy","Prowers County CO","75 MW",50,2007,"GE Energy","In Service","37.674215°, -102.639971°"
"Twin Groves I Wind Farm","Twin Groves I Wind Farm","Twin Groves I","Definition:Commercial Scale Wind",,"Horizon Wind Energy",,"McLean County IL","198 MW",120,2007,Vestas,"In Service","40.463317°, -88.64753°"
"Twin Groves II (07) Wind Farm","Twin Groves II (07) Wind Farm","Twin Groves II (07)","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Constellation Energy","McLean County IL","161.7 MW",98,2007,Vestas,"In Service","40.463317°, -88.64753°"
"Twin Groves II (08) Wind Farm","Twin Groves II (08) Wind Farm","Twin Groves II (08)","Definition:Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","Constellation Energy","McLean County IL","36.3 MW",22,2008,Vestas,"In Service","40.463317°, -88.64753°"
"Twin Ridges","Twin Ridges","Twin Ridges","Definition:Commercial Scale Wind",EverPower,EverPower,Merchant,"Somerset County PA","139.4 MW",68,2012,REpower,"In Service","39.76104709°, -78.91136169°"
"U.S. Marine Corp Logistics Base","U.S. Marine Corp Logistics Base","U.S. Marine Corp Logistics Base","Definition:Community Wind",,,,"Barstow CA","1.5 MW",1,2009,AAER,"In Service","34.85832705°, -116.9559002°"
"USD 307 Ell-Saline Wind Project","USD 307 Ell-Saline Wind Project","USD 307 Ell-Saline","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.77187°, -97.861519°"
"USD 345 Seaman High School Wind Project","USD 345 Seaman High School Wind Project","USD 345 Seaman High School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"39.135315°, -95.66996°"
"USD 373 Walton Rural Life Wind Project","USD 373 Walton Rural Life Wind Project","USD 373 Walton Rural Life","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.118351°, -97.260567°"
"USD 375 Circle High School Wind Project","USD 375 Circle High School Wind Project","USD 375 Circle High School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"37.794674°, -96.994576°"
"USD 376 Sterling High School Wind Project","USD 376 Sterling High School Wind Project","USD 376 Sterling High School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.216789°, -98.202492°"
"USD 384 Blue Valley Wind Project","USD 384 Blue Valley Wind Project","USD 384 Blue Valley","Definition:Community Wind",,,,KS,,1,,SkyStream,,"39.433575°, -96.758011°"
"USD 393 Solomon High School Wind Project","USD 393 Solomon High School Wind Project","USD 393 Solomon High School","Definition:Community Wind",,,,KS,,1,,SkyStream,,"38.924103°, -97.369339°"
"USD 440 Halstead Schools Wind Project","USD 440 Halstead Schools Wind Project","USD 440 Halstead Schools","Definition:Community Wind",,,,KS,,1,,SkyStream,,"37.998287°, -97.510193°"
"Uilk Wind Farm","Uilk Wind Farm","Uilk Wind Farm","Definition:Commercial Scale Wind",,"Uilk Wind Farm","Xcel Energy","West of Pipestone MN","4.5 MW",3,2009,Goldwind,"In Service","43.994704°, -96.365232°"
Unalakleet,Unalakleet,Unalakleet,"Definition:Commercial Scale Wind","Unalakleet Valley Electric Cooperative","STG Inc.",Unalakleet,"Unalakleet AK","0.4 MW",4,2009,"Northern Power Systems","In Service","63.875773°, -160.78527°"
"University of Delaware Wind","University of Delaware Wind","University of Delaware Wind","Definition:Community Wind","University of Delaware","First Marine Wind","University of Delaware","Lewes DE","2 MW",1,2010,Gamesa,"In Service","38.783739°, -75.160654°"
"University of Minnesota -- Morris Wind Farm","University of Minnesota -- Morris Wind Farm","University of Minnesota -- Morris","Definition:Community Wind","University of Minnesota -- Morris","University of Minnesota -- Morris","University of Minnesota -- Morris","Morris MN","1.65 MW",1,2005,Vestas,"In Service","45.5861111°, -95.9138889°"
"University of Minnesota Morris II - PES","University of Minnesota Morris II - PES","University of Minnesota Morris II - PES","Definition:Community Wind","University of Minnesota - Morris","University of Minnesota - Morris","University of Minnesota - Morris / Otter Tail Power","Morris MN","1.65 MW",1,2011,Vestas,"In Service","45.5896944°, -95.87700963°"
"Upper Scioto Valley School","Upper Scioto Valley School","Upper Scioto Valley School","Definition:Community Wind","Upper Scioto Valley Schools",,"Upper Scioto Valley Schools","McGuffey OH","0.2 MW",2,2009,"Northern Power Systems","In Service","40.691542°, -83.786353°"
"Valley View Wind Farm","Valley View Wind Farm","Valley View","Definition:Commercial Scale Wind","Juhl Wind","Valley View Transmission","Xcel Energy","Outside Chandler MN","10 MW",5,2011,Gamesa,"In Service","43.905808°, -96.020508°"
"Vansycle Ridge II","Vansycle Ridge II","Vansycle Ridge II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,OR,"98.9 MW",43,2009,Siemens,"In Service","45.8515°, -118.458°"
"Vansycle Ridge Wind Farm","Vansycle Ridge Wind Farm","Vansycle Ridge","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Portland General Electric","North of Helix OR","25.08 MW",38,1998,Vestas,"In Service","45.966383°, -118.777499°"
"Vantage Wind Energy Center","Vantage Wind Energy Center","Vantage Wind Energy Center","Definition:Commercial Scale Wind",Invenergy,Invenergy,"Pacific Gas & Electric Co","East of Ellensburg between Vantage Highway and I90","103.5 MW",69,2010,"GE Energy","In Service","46.965336°, -120.245204°"
"Velva Wind Farm","Velva Wind Farm","Velva Wind Farm","Definition:Commercial Scale Wind","Acciona Energy","Global Renewable Energy Partners/Acciona Energy","Xcel Energy","McHenry County ND","11.88 MW",18,2006,Vestas,"In Service","48.089928°, -100.907328°"
"Venture Wind I Wind Farm","Venture Wind I Wind Farm","Venture Wind I","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.2 MW",12,,Various,"In Service","37.7347°, -121.652°"
"Venture Wind II Wind Farm","Venture Wind II Wind Farm","Venture Wind II","Definition:Commercial Scale Wind",SeaWest,Seawest,"Pacific Gas & Electric Co","Altamont Pass CA","1.69 MW",26,,Various,"In Service","37.7347°, -121.652°"
"Vermilion Bay","Vermilion Bay","Vermilion Bay","Definition:Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico LA","36 MW",18,,XEMC,Proposed,"29.741°, -92.057°"
"Victorville Wind Project","Victorville Wind Project","Victorville Wind Project","Definition:Community Wind",NORESCO,NORESCO,"Victorville Prison","Victorville Federal Correctional Complex CA","0.75 MW",1,2005,Vestas,"In Service","34.557649°, -117.358299°"
"Victory Garden Wind Farm I","Victory Garden Wind Farm I","Victory Garden","Definition:Commercial Scale Wind",Caithness,Caithness,"Southern California Edison Co","Tehachapi CA","6 MW",8,2005,Zond,"In Service","35.07665°, -118.25529°"
"Victory Garden Wind Farm II","Victory Garden Wind Farm II","Victory Garden","Definition:Commercial Scale Wind",Caithness,Caithness,"Southern California Edison Co","Tehachapi CA","0.66 MW",1,2005,Vestas,"In Service","35.07665°, -118.25529°"
"Victory Gardens I and IV","Victory Gardens I and IV","Victory Gardens I and IV","Definition:Commercial Scale Wind",,"Zond Systems","Southern California Edison Co","Tehachapi CA","1 MW",2,,Vestas,"In Service","35.07665°, -118.25529°"
"Victory Gardens Phase IV Wind Farm I","Victory Gardens Phase IV Wind Farm I","Victory Gardens- Phase IV","Definition:Commercial Scale Wind","NextEra Energy Resources","Zond Systems","Southern California Edison Co","Tehachapi CA","1.32 MW",2,1990,Vestas,"In Service","35.07665°, -118.25529°"
"Victory Gardens Phase IV Wind Farm II","Victory Gardens Phase IV Wind Farm II","Victory Gardens- Phase IV","Definition:Commercial Scale Wind","NextEra Energy Resources","Zond Systems","Southern California Edison Co","Tehachapi CA","21.15 MW",94,1990,Vestas,"In Service","35.07665°, -118.25529°"
"Victory Wind Farm","Victory Wind Farm","Victory Wind Farm","Definition:Commercial Scale Wind","MidAmerican Energy",Invenergy,"MidAmerican Energy","Carroll and Crawford Counties IA","99 MW",66,2006,"GE Energy","In Service","42.144715°, -95.138183°"
Vienna,Vienna,Vienna,"Definition:Commercial Scale Wind","MidAmerican Energy","RPM Access Wind Development","MidAmerican Energy","Marshalltown IA","105.75 MW",45,2012,Siemens,"In Service","42.159909°, -92.779639°"
"Viking Energy '83 Wind Farm","Viking Energy '83 Wind Farm","Viking Energy '83","Definition:Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.69 MW",26,1983,Micon,"In Service","37.7347°, -121.652°"
"Viking Wind Farm","Viking Wind Farm","Viking Wind Farm","Definition:Commercial Scale Wind","EnXco - part ownership",EnXco,"Xcel Energy","Murray County MN","12 MW",8,2003,"GE Energy","In Service","44.0215°, -95.7637°"
"Village of Cascade","Village of Cascade","Village of Cascade","Definition:Community Wind","Village of Cascade",,"Village of Cascade","Cascade WI","0.2 MW",2,2010,"Northern Power Systems","In Service","43.65868218°, -87.99709797°"
"WPS Wind Farm","WPS Wind Farm","WPS Wind Farm","Definition:Commercial Scale Wind","Wisconsin Public Service Co.","Wisconsin Public Service Co.","Wisconsin Public Service Co.","Lincoln in Kewaunee County WI","9.24 MW",14,1999,Vestas,"In Service","44.611019°, -87.558818°"
Wagner,Wagner,Wagner,"Definition:Commercial Scale Wind","WKN USA LLC","WKN USA LLC","Undisclosed PPA","Palm Springs CA","6 MW",2,2012,Vestas,"In Service","33.908089°, -116.555558°"
"Wales Wind Energy Project","Wales Wind Energy Project","Wales Wind Energy Project","Definition:Small Scale Wind","Alaska Village Electric Coop","Kotzebue Electric Assoc.","Alaska Village Electric Coop","Wales AK","0.1 MW",2,2000,"Atlantic Orient Co.","In Service","65.6113°, -168.091°"
"Wall Lake Municipal Utilities Wind Farm","Wall Lake Municipal Utilities Wind Farm","Wall Lake Municipal Utilities","Definition:Commercial Scale Wind","Wall Lake Municipal Utilities","Wall Lake Municipal Utilities","Wall Lake Municipal Utilities","Wall Lake IA","0.66 MW",1,2003,Vestas,"In Service","42.281965°, -95.094098°"
"Wallys Wind Farm","Wallys Wind Farm","Wallys Wind Farm","Definition:Commercial Scale Wind","Wallys Wind Farm LLC",,"Xcel Energy","Lake Benton MN","1.25 MW",1.25,2006,"Suzlon Energy Company","In Service","44.2847°, -96.4256°"
"Walmart Red Bluff","Walmart Red Bluff","Walmart Red Bluff","Definition:Community Wind","Foundation Windpower","Foundation Windpower",Walmart,"Red Bluff CA","1.5 MW",1,2012,"GE Energy","In Service","40.11121276°, -122.1940291°"
"Walnut Wind Project Wind Farm","Walnut Wind Project Wind Farm","Walnut Wind Project","Definition:Commercial Scale Wind","MidAmerican Energy",EnXco,"MidAmerican Energy","Pottawattamie County IA","153 MW",102,2008,"GE Energy","In Service","41.484094°, -95.185339°"
"Walsh High School Wind Project","Walsh High School Wind Project","Walsh High School","Definition:Community Wind",,,,CO,,1,,SkyStream,,"37.385723°, -102.285591°"
