Primary,Related,Cooc
Speed,Knowledge / Helpfulness,3.26
Speed,Attitude,3.26
Speed,All Competitors,3.26
Speed,Keeping Promises - Billing,3.26
Speed,Resolution Time,3.26
Speed,Call Quality,3.26
Speed,First Contact Resolution,2.17
Speed,Picture Quality,2.17
Speed,Technical Support,2.17
Speed,Taxes / Surcharges,2.17
Speed,Advertising and Collateral,2.17
Speed,Instructions,1.09
Speed,Supervisor Escalation,1.09
Speed,Packages / Premium Channels,1.09
Speed,Account Verification,1.09
Speed,Promotions,1.09
Speed,Technician,1.09
Speed,Keeping Promises - Customer Call Back,1.09
Speed,Equipment Delivery / Returns,1.09
Speed,Non-recurring Charges,1.09
Speed,Email / Home Page,1.09
Speed,Solicitation,1.09
Speed,Collections,1.09
Speed,Reliability / Out Of Service,1.09
Supervisor Escalation,Keeping Promises - Customer Call Back,27.78
Supervisor Escalation,Transfer / Hold,26.19
Supervisor Escalation,First Contact Resolution,10.32
Supervisor Escalation,Keeping Promises - Customer Service,9.52
Supervisor Escalation,Keeping Promises - Appointments,8.73
Supervisor Escalation,Attitude,7.94
Supervisor Escalation,Keeping Promises - Billing,6.35
Supervisor Escalation,Billing Accuracy,5.56
Supervisor Escalation,Getting to Rep / Reaching the Right Person,4.76
Supervisor Escalation,Knowledge / Helpfulness,4.76
Supervisor Escalation,All Competitors,4.76
Supervisor Escalation,Contracts,3.97
Supervisor Escalation,Appointment Time / Window Convenience,3.17
Supervisor Escalation,Programming / Channel Line Up,2.38
Supervisor Escalation,Cost,2.38
Supervisor Escalation,Resolution Time,2.38
Supervisor Escalation,Voice Mail,1.59
Supervisor Escalation,Technical Support,1.59
Supervisor Escalation,Call Quality,1.59
Supervisor Escalation,Contracts,1.59
Supervisor Escalation,Regulatory,1.59
Supervisor Escalation,Promotions,1.59
Supervisor Escalation,Referrals / Word of Mouth,1.59
Supervisor Escalation,Taxes / Surcharges,1.59
Supervisor Escalation,Reliability / Out Of Service,1.59
Supervisor Escalation,Modem / Router,0.79
Supervisor Escalation,Instructions,0.79
Supervisor Escalation,Move / Transfer of Service,0.79
Supervisor Escalation,Speed,0.79
Supervisor Escalation,Bill Format,0.79
Supervisor Escalation,Solicitation,0.79
Supervisor Escalation,Non-recurring Charges,0.79
Supervisor Escalation,Business Hours,0.79
Supervisor Escalation,Ease of Ordering,0.79
Supervisor Escalation,Self Installation,0.79
Supervisor Escalation,Unauthorized Charge / Changes,0.79
Supervisor Escalation,Caller ID,0.79
Supervisor Escalation,Advertising and Collateral,0.79
Supervisor Escalation,Bill Explanation,0.79
Supervisor Escalation,Picture Quality,0.79
Supervisor Escalation,Calling Plans,0.79
Supervisor Escalation,Email / Home Page,0.79
Taxes / Surcharges,Billing Accuracy,34.12
Taxes / Surcharges,Keeping Promises - Billing,20
Taxes / Surcharges,Cost,16.47
Taxes / Surcharges,Keeping Promises - Customer Service,11.76
Taxes / Surcharges,Contracts,7.06
Taxes / Surcharges,Regulatory,7.06
Taxes / Surcharges,First Contact Resolution,7.06
Taxes / Surcharges,All Competitors,5.88
Taxes / Surcharges,Payment,3.53
Taxes / Surcharges,Packages / Premium Channels,3.53
Taxes / Surcharges,Calling Plans,3.53
Taxes / Surcharges,Bill Explanation,3.53
Taxes / Surcharges,Promotions,3.53
Taxes / Surcharges,Transfer / Hold,3.53
Taxes / Surcharges,Programming / Channel Line Up,3.53
Taxes / Surcharges,Non-recurring Charges,2.35
Taxes / Surcharges,Bill Format,2.35
Taxes / Surcharges,PPV / VOD Billing,2.35
Taxes / Surcharges,Getting to Rep / Reaching the Right Person,2.35
Taxes / Surcharges,Supervisor Escalation,2.35
Taxes / Surcharges,Resolution Time,2.35
Taxes / Surcharges,Keeping Promises - Appointments,2.35
Taxes / Surcharges,Speed,2.35
Taxes / Surcharges,Modem / Router,2.35
Taxes / Surcharges,Email / Home Page,1.18
Taxes / Surcharges,Set Top Box,1.18
Taxes / Surcharges,Contracts,1.18
Taxes / Surcharges,Phone - General,1.18
Taxes / Surcharges,Keeping Promises - Customer Call Back,1.18
Taxes / Surcharges,Equipment Delivery / Returns,1.18
Taxes / Surcharges,Door to Door Agent,1.18
Taxes / Surcharges,Outsourcing,1.18
Taxes / Surcharges,Legal - Other,1.18
Taxes / Surcharges,Unauthorized Charge / Changes,1.18
Technical Support,First Contact Resolution,12.3
Technical Support,Resolution Time,11.48
Technical Support,Transfer / Hold,11.48
Technical Support,Keeping Promises - Appointments,8.2
Technical Support,Modem / Router,7.38
Technical Support,Email / Home Page,4.92
Technical Support,Billing Accuracy,4.1
Technical Support,Attitude,3.28
Technical Support,Appointment Time / Window Convenience,3.28
Technical Support,Getting to Rep / Reaching the Right Person,3.28
Technical Support,Technician,3.28
Technical Support,All Competitors,2.46
Technical Support,Call Quality,2.46
Technical Support,Set Top Box,2.46
Technical Support,Reliability / Out Of Service,2.46
Technical Support,Programming / Channel Line Up,2.46
Technical Support,Keeping Promises - Customer Call Back,2.46
Technical Support,Outsourcing,2.46
Technical Support,Keeping Promises - Customer Service,2.46
Technical Support,Supervisor Escalation,1.64
Technical Support,Remote,1.64
Technical Support,Account Verification,1.64
Technical Support,Packages / Premium Channels,1.64
Technical Support,Speed,1.64
Technical Support,Picture Quality,0.82
Technical Support,Instructions,0.82
Technical Support,Contracts,0.82
Technical Support,Ease of Ordering,0.82
Technical Support,Legal - Other,0.82
Technical Support,Bill Explanation,0.82
Technical Support,Knowledge / Helpfulness,0.82
Technical Support,Non-recurring Charges,0.82
Technical Support,PPV / VOD Billing,0.82
Technical Support,Unauthorized Charge / Changes,0.82
Technical Support,Keeping Promises - Billing,0.82
Technical Support,Cost,0.82
Technical Support,Live Chat,0.82
Technical Support,Voice Mail,0.82
Technical Support,Self Installation,0.82
Technician,Appointment Time / Window Convenience,14.78
Technician,Resolution Time,6.9
Technician,Keeping Promises - Appointments,5.42
Technician,Call Quality,4.93
Technician,Keeping Promises - Customer Service,4.93
Technician,First Contact Resolution,3.45
Technician,Modem / Router,2.46
Technician,Billing Accuracy,1.97
Technician,Transfer / Hold,1.97
Technician,Technical Support,1.97
Technician,Knowledge / Helpfulness,1.48
Technician,Cost,1.48
Technician,Picture Quality,1.48
Technician,Keeping Promises - Billing,1.48
Technician,Set Top Box,1.48
Technician,Equipment Delivery / Returns,0.99
Technician,Bill Explanation,0.99
Technician,Reliability / Out Of Service,0.99
Technician,All Competitors,0.99
Technician,Attitude,0.99
Technician,Regulatory,0.99
Technician,Programming / Channel Line Up,0.99
Technician,Getting to Rep / Reaching the Right Person,0.49
Technician,Interactive Voice Response (IVR),0.49
Technician,Calling Plans,0.49
Technician,Payment,0.49
Technician,Keeping Promises - Customer Call Back,0.49
Technician,Ease of Ordering,0.49
Technician,Contracts,0.49
Technician,Email / Home Page,0.49
Technician,Speed,0.49
Technician,Voice Mail,0.49
Technician,Instructions,0.49
Technician,Warranty,0.49
Technician,Program Guide,0.49
Technician,Remote,0.49
Technician,Home Monitor,0.49
Technician,Advertising and Collateral,0.49
Technician,Referrals / Word of Mouth,0.49
Transfer / Hold,Resolution Time,21.3
Transfer / Hold,Supervisor Escalation,9.76
Transfer / Hold,First Contact Resolution,9.17
Transfer / Hold,Getting to Rep / Reaching the Right Person,9.17
Transfer / Hold,Keeping Promises - Customer Call Back,5.92
Transfer / Hold,Billing Accuracy,5.33
Transfer / Hold,Interactive Voice Response (IVR),5.03
Transfer / Hold,Keeping Promises - Billing,5.03
Transfer / Hold,Keeping Promises - Customer Service,4.44
Transfer / Hold,Cost,4.44
Transfer / Hold,Technical Support,4.14
Transfer / Hold,Keeping Promises - Appointments,4.14
Transfer / Hold,Email / Home Page,2.96
Transfer / Hold,Appointment Time / Window Convenience,2.96
Transfer / Hold,All Competitors,2.37
Transfer / Hold,Attitude,2.37
Transfer / Hold,Regulatory,2.37
Transfer / Hold,Contracts,2.07
Transfer / Hold,Ease of Ordering,2.07
Transfer / Hold,Knowledge / Helpfulness,1.78
Transfer / Hold,Unauthorized Charge / Changes,1.48
Transfer / Hold,Modem / Router,1.48
Transfer / Hold,Promotions,1.48
Transfer / Hold,Bill Explanation,1.48
Transfer / Hold,Non-recurring Charges,1.18
Transfer / Hold,Set Top Box,1.18
Transfer / Hold,Technician,1.18
Transfer / Hold,Taxes / Surcharges,0.89
Transfer / Hold,Call Quality,0.89
Transfer / Hold,Collections,0.89
Transfer / Hold,Calling Plans,0.89
Transfer / Hold,Referrals / Word of Mouth,0.89
Transfer / Hold,Reliability / Out Of Service,0.89
Transfer / Hold,Packages / Premium Channels,0.59
Transfer / Hold,Instructions,0.59
Transfer / Hold,Outsourcing,0.59
Transfer / Hold,One Visit Resolution,0.59
Transfer / Hold,PPV / VOD Billing,0.59
Transfer / Hold,Spec Needs / Usability,0.59
Transfer / Hold,Payment,0.59
Transfer / Hold,Programming / Channel Line Up,0.59
Transfer / Hold,Caller ID,0.3
Transfer / Hold,OneBill / Split Bill,0.3
Transfer / Hold,Contracts,0.3
Transfer / Hold,Equipment Delivery / Returns,0.3
Transfer / Hold,Account Verification,0.3
Transfer / Hold,Business Hours,0.3
Transfer / Hold,Pay Per View / VOD,0.3
Transfer / Hold,Equipment Delivery / Returns,0.3
Transfer / Hold,Remote,0.3
Transfer / Hold,Live Chat,0.3
Transfer / Hold,Home Monitor,0.3
Transfer / Hold,Installation - Physical,0.3
Transfer / Hold,Advertising and Collateral,0.3
Transfer / Hold,Self Installation,0.3
Unauthorized Charge / Changes,Billing Accuracy,16.07
Unauthorized Charge / Changes,Contracts,10.71
Unauthorized Charge / Changes,Transfer / Hold,8.93
Unauthorized Charge / Changes,Cost,8.93
Unauthorized Charge / Changes,Keeping Promises - Billing,7.14
Unauthorized Charge / Changes,Getting to Rep / Reaching the Right Person,5.36
Unauthorized Charge / Changes,Calling Plans,5.36
Unauthorized Charge / Changes,Keeping Promises - Customer Service,5.36
Unauthorized Charge / Changes,Non-recurring Charges,5.36
Unauthorized Charge / Changes,Contracts,3.57
Unauthorized Charge / Changes,Email / Home Page,3.57
Unauthorized Charge / Changes,First Contact Resolution,3.57
Unauthorized Charge / Changes,Keeping Promises - Customer Call Back,3.57
Unauthorized Charge / Changes,Regulatory,3.57
Unauthorized Charge / Changes,Solicitation,3.57
Unauthorized Charge / Changes,Payment,3.57
Unauthorized Charge / Changes,Interactive Voice Response (IVR),1.79
Unauthorized Charge / Changes,Resolution Time,1.79
Unauthorized Charge / Changes,Equipment Delivery / Returns,1.79
Unauthorized Charge / Changes,Technical Support,1.79
Unauthorized Charge / Changes,Keeping Promises - Appointments,1.79
Unauthorized Charge / Changes,Installation - Physical,1.79
Unauthorized Charge / Changes,Equipment Delivery / Returns,1.79
Unauthorized Charge / Changes,Supervisor Escalation,1.79
Unauthorized Charge / Changes,Bill Explanation,1.79
Unauthorized Charge / Changes,Taxes / Surcharges,1.79
Unauthorized Charge / Changes,All Competitors,1.79
Unauthorized Charge / Changes,Attitude,1.79
Up Sell,Cost,20
Up Sell,Picture Quality,20
Up Sell,Programming / Channel Line Up,20
Up Sell,Keeping Promises - Billing,20
Up Sell,Attitude,20
Up Sell,Door to Door Agent,20
Up Sell,Instructions,20
Up Sell,Keeping Promises - Appointments,20
Voice Mail,Keeping Promises - Customer Call Back,6.67
Voice Mail,Call Quality,6.67
Voice Mail,First Contact Resolution,6.67
Voice Mail,Getting to Rep / Reaching the Right Person,4
Voice Mail,In Home Agent,4
Voice Mail,Email / Home Page,4
Voice Mail,Resolution Time,4
Voice Mail,Regulatory,2.67
Voice Mail,Supervisor Escalation,2.67
Voice Mail,Keeping Promises - Customer Service,2.67
Voice Mail,All Competitors,2.67
Voice Mail,Billing Accuracy,2.67
Voice Mail,Cost,2.67
Voice Mail,Keeping Promises - Appointments,2.67
Voice Mail,Instructions,2.67
Voice Mail,Technical Support,1.33
Voice Mail,Equipment Delivery / Returns,1.33
Voice Mail,Reliability / Out Of Service,1.33
Voice Mail,Picture Quality,1.33
Voice Mail,Programming / Channel Line Up,1.33
Voice Mail,Keeping Promises - Billing,1.33
Voice Mail,Interactive Voice Response (IVR),1.33
Voice Mail,Technician,1.33
Voice Mail,Caller ID,1.33
Voice Mail,Account Verification,1.33
Voice Mail,Set Top Box,1.33
Warranty,Keeping Promises - Customer Service,18.18
Warranty,Technician,9.09
Warranty,Cost,9.09
Warranty,Non-recurring Charges,9.09
Warranty,Appointment Time / Window Convenience,9.09
Wifi,Promotions,100
